state,value
Alabama,0.8
Alaska,0.4
Arizona,0.9
Arkansas,0.4
California,1.2
Colorado,1.6
Connecticut,2.2
Delaware,2.0
Florida,0.9
Georgia,1.6
Hawaii,1.5
Idaho,0.7
Illinois,2.2
Indiana,0.9
Iowa,0.9
Kansas,1.5
Kentucky,1.6
Louisiana,0.4
Maine,1.7
Maryland,2.6
Massachusetts,2.7
Michigan,1.3
Minnesota,2.0
Mississippi,1.3
Missouri,1.9
Montana,1.1
Nebraska,1.5
Nevada,1.5
New Hampshire,1.2
New Jersey,1.9
New Mexico,0.6
New York,2.2
North Carolina,1.6
North Dakota,1.2
Ohio,1.4
Oklahoma,0.6
Oregon,1.7
Pennsylvania,1.8
Rhode Island,2.0
South Carolina,1.5
South Dakota,1.3
Tennessee,1.1
Texas,0.9
Utah,0.8
Vermont,2.2
Virginia,2.5
Washington,1.8
West Virginia,0.8
Wisconsin,1.2
Wyoming,2.2