State	PostalCode	HS	BD	AD
Alabama	AL	0.821	0.22	0.077
Alaska	AK	0.914	0.266	0.09
Arizona	AZ	0.842	0.256	0.093
Arkansas	AR	0.824	0.189	0.061
California	CA	0.806	0.299	0.107
Colorado	CO	0.893	0.359	0.127
Connecticut	CT	0.886	0.356	0.155
Delaware	DE	0.874	0.287	0.114
District of Columbia	DC	0.871	0.485	0.28
Florida	FL	0.853	0.253	0.09
Georgia	GA	0.839	0.275	0.099
Hawaii	HI	0.904	0.296	0.099
Idaho	ID	0.884	0.239	0.075
Illinois	IL	0.864	0.306	0.117
Indiana	IN	0.866	0.225	0.081
Iowa	IA	0.905	0.251	0.074
Kansas	KS	0.897	0.295	0.102
Kentucky	KY	0.817	0.21	0.085
Louisiana	LA	0.822	0.214	0.069
Maine	ME	0.902	0.269	0.096
Maryland	MD	0.882	0.357	0.16
Massachusetts	MA	0.89	0.382	0.164
Michigan	MI	0.879	0.246	0.094
Minnesota	MN	0.915	0.315	0.103
Mississippi	MS	0.804	0.196	0.071
Missouri	MO	0.868	0.252	0.095
Montana	MT	0.908	0.274	0.083
Nebraska	NE	0.898	0.274	0.088
Nevada	NV	0.839	0.218	0.076
New Hampshire	NH	0.913	0.32	0.112
New Jersey	NJ	0.874	0.345	0.129
New Mexico	NM	0.828	0.253	0.104
New York	NY	0.847	0.324	0.14
North Carolina	NC	0.843	0.265	0.088
North Dakota	ND	0.901	0.258	0.067
Ohio	OH	0.876	0.241	0.088
Oklahoma	OK	0.856	0.227	0.074
Oregon	OR	0.891	0.292	0.104
Pennsylvania	PA	0.879	0.264	0.102
Rhode Island	RI	0.847	0.305	0.117
South Carolina	SC	0.836	0.243	0.084
South Dakota	SD	0.899	0.251	0.073
Tennessee	TN	0.831	0.23	0.079
Texas	TX	0.799	0.255	0.085
Utah	UT	0.904	0.285	0.091
Vermont	VT	0.91	0.331	0.133
Virginia	VA	0.866	0.34	0.141
Washington	WA	0.897	0.31	0.111
West Virginia	WV	0.828	0.173	0.067
Wisconsin	WI	0.898	0.257	0.084
Wyoming	WY	0.918	0.238	0.079